id,local_id,user_id,name,folder_id,network,created_at,updated_at
"218","dyhmn-2021-01-28T00:58:34.734Z","9451","Wellness Wednesday",,,"2021-01-28 00:58:35.249404","2021-01-28 00:58:35.249404"
"208","u054vg-2021-01-21T18:00:09.889Z","9451","Transfrmation Tuesday",,,"2021-01-21 18:00:10.213344","2021-01-28 00:59:36.924203"
"220","22esdr-2021-01-28T01:00:03.493Z","9451","Fitness",,,"2021-01-28 01:00:03.99088","2021-01-28 01:00:03.99088"
"2214","stsrt-2022-09-12T02:45:54.083Z","12606","TSP","1183","instagram","2022-09-12 02:45:54.38249","2022-09-12 02:45:54.38249"
"222","rrnoin-2021-01-28T01:00:53.819Z","9451","Lean Body 2.0",,,"2021-01-28 01:00:54.361281","2021-01-28 01:00:54.361281"
"223","pyoli-2021-01-28T01:02:18.746Z","9451","Motivation",,,"2021-01-28 01:02:19.287083","2021-01-28 01:02:19.287083"
"224","thmh7xe-2021-01-28T01:02:49.666Z","9451","Family",,,"2021-01-28 01:02:49.922033","2021-01-28 01:02:49.922033"
"225","7c0mo-2021-01-28T01:06:01.579Z","9451","LBS",,,"2021-01-28 01:06:02.097037","2021-01-28 01:06:02.097037"
"219","ho7018-2021-01-28T00:59:50.064Z","9451","Bio/Personal",,,"2021-01-28 00:59:50.327215","2021-01-28 01:07:32.796288"
"226","l1ip5-2021-01-28T01:08:12.433Z","9451","Business",,,"2021-01-28 01:08:13.032392","2021-01-28 01:08:13.032392"
"227","xnb8ov-2021-01-28T02:19:19.551Z","9580","About Me",,,"2021-01-28 02:19:19.998145","2021-01-28 02:19:19.998145"
"228","3he6d-2021-01-28T02:22:29.811Z","9580","Hair-Related",,,"2021-01-28 02:22:30.275634","2021-01-28 02:22:30.275634"
"229","kt9d38-2021-01-28T02:23:04.477Z","9580","Products",,,"2021-01-28 02:23:04.933349","2021-01-28 02:23:04.933349"
"216","2uugn9-2021-01-27T03:14:37.653Z","9885","Gérard Pictures",,,"2021-01-27 03:14:39.299421","2021-01-28 05:26:41.669925"
"230","v3nsuc-2021-01-28T06:49:16.634Z","8041","Cash Money",,,"2021-01-28 06:49:17.187923","2021-01-28 06:49:17.187923"
"231","f80x5a-2021-01-28T10:46:53.821Z","9885","old captions",,,"2021-01-28 10:46:55.622457","2021-01-28 10:46:55.622457"
"2378","b09wf-2022-11-01T19:01:19.146Z","12576","Theme: Motivation",,,"2022-11-01 19:01:19.386593","2022-11-01 19:01:19.386593"
"234","1kmyjq-2021-01-30T06:50:56.759Z","7707","ENDING",,,"2021-01-30 06:50:57.269613","2021-01-30 06:50:57.269613"
"235","1owtop-2021-01-30T12:57:53.968Z","7727","Posted","171",,"2021-01-30 12:57:54.276799","2021-01-30 12:57:54.276799"
"236","5kaypi-2021-01-30T12:58:00.879Z","7727","Not Posted","171",,"2021-01-30 12:58:01.247779","2021-01-30 12:58:01.247779"
"2260","9x6xm-2022-10-04T03:39:25.217Z","16205","fierce & fire ",,"facebook","2022-10-04 03:39:25.578741","2022-10-04 04:01:43.530095"
"2282","vudjkr-2022-10-11T22:12:08.805Z","12470","CA","751","instagram","2022-10-11 22:12:09.084808","2022-10-11 22:12:09.084808"
"2291","g1nz0v-2022-10-11T22:25:11.639Z","12470","WA","751","instagram","2022-10-11 22:25:11.920094","2022-10-11 22:25:11.920094"
"2315","wdpazl-2022-10-18T10:16:27.603Z","197","FROM SCRATCH","1344",,"2022-10-18 10:16:27.925459","2022-10-18 10:16:27.925459"
"244","nrxp0a-2021-01-31T14:13:53.762Z","2009","Podcast + YouTube",,,"2021-01-31 14:13:54.070761","2021-08-15 20:51:28.904034"
"245","kv8b4b-2021-01-31T14:17:23.060Z","2009","Lead Follow-Up",,,"2021-01-31 14:17:23.383023","2021-01-31 14:17:23.383023"
"246","gnsl47-2021-01-31T22:38:46.259Z","9967","Hashtag Collections ",,,"2021-01-31 22:38:46.565239","2021-01-31 22:38:46.565239"
"247","4358yn-2021-01-31T23:27:14.175Z","9967","Health Captions",,,"2021-01-31 23:27:14.432129","2021-01-31 23:27:14.432129"
"248","w96ce8-2021-01-31T23:35:37.574Z","9967","Travel",,,"2021-01-31 23:35:37.841247","2021-01-31 23:35:37.841247"
"249","ydatr8-2021-01-31T23:41:33.731Z","9967","Photography",,,"2021-01-31 23:41:34.02562","2021-01-31 23:41:34.02562"
"250","wn0lc-2021-01-31T23:45:57.904Z","9967","Life Motivation",,,"2021-01-31 23:45:58.183396","2021-01-31 23:45:58.183396"
"252","py8g92-2021-02-01T08:07:32.918Z","7363","Personal",,,"2021-02-01 08:07:33.451274","2021-02-01 08:07:33.451274"
"253","bk2o8-2021-02-01T12:40:14.642Z","8482","Innisfree",,,"2021-02-01 12:40:15.269198","2021-02-01 12:40:15.269198"
"254","b2jtpo-2021-02-01T23:32:17.300Z","9990","Stories",,,"2021-02-01 23:34:14.754219","2021-02-01 23:34:14.754219"
"2393","f7a0dk-2022-11-04T13:24:03.776Z","12036","00-Riff Experience",,,"2022-11-04 13:24:04.029352","2022-11-04 13:24:24.082459"
"256","dqoate-2021-02-02T16:16:44.236Z","9659","Saved coaching ",,,"2021-02-02 16:16:44.79727","2021-02-02 16:16:44.79727"
